date,open,close
2005-01-04,996.682,986.927
2005-01-05,986.57,1003.633
2005-01-06,1003.49,994.595
2005-01-07,993.434,997.606
2005-01-10,996.928,1006.337
2005-01-11,1006.211,1008.343
2005-01-12,1008.01,1008.62
2005-01-13,1008.098,1013.07
2005-01-14,1012.699,1000.169
2005-01-17,990.987,977.522
2005-01-18,977.603,991.419
2005-01-19,991.291,986.241
2005-01-20,983.198,972.463
2005-01-21,971.501,988.519
2005-01-24,1009.947,1008.175
2005-01-25,1006.0,999.553
2005-01-26,997.638,987.955
2005-01-27,986.146,971.373
2005-01-28,971.373,952.413
2005-01-31,948.439,922.653
2005-02-01,919.8,913.331
2005-02-02,913.025,964.243
2005-02-03,963.746,945.312
2005-02-04,944.447,962.028
2005-02-16,967.432,972.337
2005-02-17,971.838,977.272
2005-02-18,977.12,964.769
2005-02-21,965.001,981.819
2005-02-22,982.418,1007.688
2005-02-23,1008.293,1019.258
2005-02-24,1018.292,1024.446
2005-02-25,1024.569,1024.118
2005-02-28,1023.191,1020.847
2005-03-01,1020.595,1021.162
2005-03-02,1021.357,1006.148
2005-03-03,1004.1,1011.288
2005-03-04,1011.2,1003.21
2005-03-07,1004.341,1006.953
2005-03-08,1007.684,1029.457
2005-03-09,1031.602,1032.55
2005-03-10,1032.274,1005.545
2005-03-11,1003.781,1009.434
2005-03-14,1009.177,1007.766
2005-03-15,1007.892,993.831
2005-03-16,992.642,983.916
2005-03-17,983.105,970.966
2005-03-18,969.118,949.509
2005-03-21,947.571,949.553
2005-03-22,948.784,922.564
2005-03-23,921.069,923.194
2005-03-24,922.181,933.347
2005-03-25,933.173,931.417
2005-03-28,930.168,922.923
2005-03-29,922.659,916.811
2005-03-30,915.088,888.949
2005-03-31,887.07,896.068
2005-04-01,895.227,927.546
2005-04-04,919.139,909.87
2005-04-05,908.185,901.744
2005-04-06,901.744,918.557
2005-04-07,919.235,932.333
2005-04-08,931.774,949.457
2005-04-11,949.847,948.509
2005-04-12,947.115,927.41
2005-04-13,932.311,950.229
2005-04-14,952.538,935.425
2005-04-15,931.666,913.271
2005-04-18,910.889,901.118
2005-04-19,899.934,902.785
2005-04-20,902.22,884.083
2005-04-21,881.676,867.328
2005-04-22,865.817,857.401
2005-04-25,846.142,841.058
2005-04-26,839.248,855.24
2005-04-27,857.951,839.953
2005-04-28,837.384,860.616
2005-04-29,860.393,847.611
2005-05-09,848.088,818.399
2005-05-10,814.765,818.088
2005-05-11,816.817,811.57
2005-05-12,810.16,807.51
2005-05-13,806.728,814.878
2005-05-16,814.055,808.171
2005-05-17,806.808,818.455
2005-05-18,818.12,824.643
2005-05-19,824.826,824.94
2005-05-20,824.574,819.13
2005-05-23,816.195,793.724
2005-05-24,791.129,808.743
2005-05-25,808.521,809.697
2005-05-26,808.661,799.024
2005-05-27,797.183,790.998
2005-05-30,788.637,797.532
2005-05-31,798.334,796.872
2005-06-01,795.817,778.673
2005-06-02,777.469,769.421
2005-06-03,767.67,765.967
2005-06-06,764.656,778.21
2005-06-07,779.723,779.844
2005-06-08,782.007,841.36
2005-06-09,840.233,849.725
2005-06-10,850.024,831.605
2005-06-13,830.796,834.252
2005-06-14,835.353,818.191
2005-06-15,815.731,796.26
2005-06-16,795.755,803.945
2005-06-17,805.753,800.137
2005-06-20,799.467,823.733
2005-06-21,823.538,816.197
2005-06-22,814.912,818.647
2005-06-23,818.189,809.347
2005-06-24,807.678,813.203
2005-06-27,817.284,834.346
2005-06-28,832.155,819.046
2005-06-29,818.091,814.064
2005-06-30,813.152,791.502
2005-07-01,789.177,760.352
2005-07-04,756.033,749.483
2005-07-05,747.894,744.595
2005-07-06,744.795,743.444
2005-07-07,743.323,747.418
2005-07-08,746.289,722.854
2005-07-11,725.635,714.475
2005-07-12,712.307,739.534
2005-07-13,738.614,732.443
2005-07-14,732.005,732.544
2005-07-15,732.674,714.488
2005-07-18,712.32,696.848
2005-07-19,695.767,703.066
2005-07-20,703.173,707.293
2005-07-21,707.049,704.788
2005-07-22,704.611,721.445
2005-07-25,720.609,718.867
2005-07-26,718.623,735.861
2005-07-27,736.289,750.015
2005-07-28,750.4,747.23
2005-07-29,746.589,744.825
2005-08-01,744.771,750.488
2005-08-02,750.964,763.29
2005-08-03,764.938,769.752
2005-08-04,767.566,765.262
2005-08-05,765.39,787.819
2005-08-08,792.401,800.117
2005-08-09,800.837,814.186
2005-08-10,814.763,823.839
2005-08-11,823.72,832.841
2005-08-12,833.462,816.386
2005-08-15,814.842,839.667
2005-08-16,841.322,839.264
2005-08-17,837.896,854.526
2005-08-18,855.879,820.664
2005-08-19,816.96,820.869
2005-08-22,819.478,831.496
2005-08-23,830.736,816.914
2005-08-24,816.742,826.716
2005-08-25,827.014,836.418
2005-08-26,837.41,840.431
2005-08-29,839.305,832.248
2005-08-30,831.492,827.55
2005-08-31,827.228,845.142
2005-09-01,845.934,865.405
2005-09-02,866.549,872.485
