date,open,close
2014-12-31,1000.0,1000.0
2015-01-05,1011.13,1036.36
2015-01-06,1025.78,1035.22
2015-01-07,1028.11,1036.95
2015-01-08,1039.96,1016.87
2015-01-09,1012.63,1008.5
2015-01-12,1006.01,999.8
2015-01-13,998.38,999.72
2015-01-14,1000.76,991.48
2015-01-15,991.99,1019.83
2015-01-16,1023.91,1025.11
2015-01-19,962.7,944.84
2015-01-20,939.74,956.73
2015-01-21,961.0,1001.19
2015-01-22,1001.85,1006.62
2015-01-23,1010.5,1010.25
2015-01-26,1011.9,1020.18
2015-01-27,1021.94,1008.66
2015-01-28,1000.95,993.83
2015-01-29,978.4,980.51
2015-01-30,985.66,966.0
2015-02-02,944.26,942.96
2015-02-03,952.3,968.43
2015-02-04,971.72,957.14
2015-02-05,980.05,945.16
2015-02-06,942.41,932.51
2015-02-09,935.96,944.98
2015-02-10,944.22,959.76
2015-02-11,962.13,970.42
2015-02-12,970.75,971.64
2015-02-13,975.39,980.67
2015-02-16,983.2,991.67
2015-02-17,994.99,996.91
2015-02-25,998.47,982.3
2015-02-26,980.14,1004.8
2015-02-27,1004.01,1006.49
2015-03-02,1015.38,1013.02
2015-03-03,1006.03,984.03
2015-03-04,986.42,989.42
2015-03-05,983.71,976.74
2015-03-06,978.71,970.51
2015-03-09,962.54,987.63
2015-03-10,983.56,984.06
2015-03-11,984.7,982.89
2015-03-12,990.72,999.62
2015-03-13,1002.04,1003.12
2015-03-16,1009.2,1029.56
2015-03-17,1035.97,1041.31
2015-03-18,1045.31,1065.99
2015-03-19,1068.5,1060.37
2015-03-20,1067.1,1077.27
2015-03-23,1086.54,1098.31
2015-03-24,1100.94,1096.6
2015-03-25,1095.33,1091.79
2015-03-26,1088.23,1098.28
2015-03-27,1100.95,1101.47
2015-03-30,1108.3,1133.52
2015-03-31,1147.45,1120.73
2015-04-01,1122.44,1141.27
2015-04-02,1148.27,1135.58
2015-04-03,1128.27,1141.8
2015-04-07,1152.3,1165.49
2015-04-08,1168.99,1172.34
2015-04-09,1173.97,1158.39
2015-04-10,1156.35,1183.62
2015-04-13,1192.37,1195.17
2015-04-14,1195.22,1191.08
2015-04-15,1190.77,1175.07
2015-04-16,1167.64,1222.87
2015-04-17,1240.29,1243.41
2015-04-20,1241.96,1233.42
2015-04-21,1241.29,1269.55
2015-04-22,1278.95,1305.12
2015-04-23,1311.14,1303.91
2015-04-24,1289.05,1291.09
2015-04-27,1303.42,1321.23
2015-04-28,1321.73,1306.98
2015-04-29,1303.78,1315.03
2015-04-30,1319.58,1315.06
2015-05-04,1317.96,1338.86
2015-05-05,1340.03,1282.05
2015-05-06,1293.04,1279.6
2015-05-07,1269.07,1252.72
2015-05-08,1267.62,1275.21
2015-05-11,1280.1,1312.54
2015-05-12,1312.6,1329.52
2015-05-13,1328.01,1320.22
2015-05-14,1318.78,1306.8
2015-05-15,1303.42,1278.69
2015-05-18,1271.96,1266.49
2015-05-19,1269.02,1308.87
2015-05-20,1314.92,1317.52
2015-05-21,1322.47,1344.03
2015-05-22,1359.5,1380.65
2015-05-25,1379.8,1424.0
2015-05-26,1438.37,1453.86
2015-05-27,1461.49,1438.64
2015-05-28,1435.89,1342.24
2015-05-29,1343.27,1344.63
2015-06-01,1349.77,1404.87
2015-06-02,1409.87,1424.38
2015-06-03,1426.53,1407.12
2015-06-04,1407.12,1403.95
2015-06-05,1420.96,1418.14
2015-06-08,1419.88,1444.3
2015-06-09,1446.9,1436.42
2015-06-10,1420.46,1436.86
2015-06-11,1435.53,1434.39
2015-06-12,1439.71,1438.88
2015-06-15,1443.31,1400.09
2015-06-16,1385.46,1360.47
2015-06-17,1361.07,1376.98
2015-06-18,1368.94,1322.27
2015-06-19,1301.77,1244.75
2015-06-23,1246.15,1285.23
2015-06-24,1294.7,1308.54
2015-06-25,1313.95,1265.61
2015-06-26,1231.04,1171.65
2015-06-29,1200.85,1141.34
2015-06-30,1133.19,1221.04
2015-07-01,1203.78,1168.76
2015-07-02,1176.18,1131.9
2015-07-03,1105.25,1071.68
2015-07-06,1164.8,1105.47
2015-07-07,1073.58,1090.67
2015-07-08,1009.55,1018.43
2015-07-09,1011.0,1084.06
2015-07-10,1090.95,1139.67
2015-07-13,1143.91,1161.13
2015-07-14,1151.71,1131.06
2015-07-15,1121.0,1105.47
2015-07-16,1099.98,1112.4
2015-07-17,1118.85,1152.77
2015-07-20,1154.68,1153.93
2015-07-21,1138.48,1147.67
2015-07-22,1143.09,1144.0
2015-07-23,1145.34,1169.32
2015-07-24,1170.55,1147.63
2015-07-27,1127.49,1048.76
2015-07-28,1018.16,1042.49
2015-07-29,1051.93,1071.02
2015-07-30,1068.15,1045.53
2015-07-31,1037.25,1042.68
2015-08-03,1028.69,1042.52
2015-08-04,1042.44,1074.72
2015-08-05,1073.4,1054.62
2015-08-06,1037.0,1047.94
2015-08-07,1059.19,1066.32
2015-08-10,1079.63,1113.99
2015-08-11,1117.12,1115.26
2015-08-12,1106.53,1101.86
2015-08-13,1102.45,1115.88
2015-08-14,1121.35,1114.72
2015-08-17,1109.83,1111.81
2015-08-18,1113.04,1046.62
2015-08-19,1027.99,1066.93
2015-08-20,1055.07,1032.07
2015-08-21,1021.2,989.79
2015-08-24,954.88,903.9
2015-08-25,850.35,845.84
2015-08-26,850.66,844.42
2015-08-27,866.54,891.88
2015-08-28,902.65,928.41
2015-08-31,913.37,934.03
2015-09-01,913.85,929.44
2015-09-02,891.49,926.27
2015-09-07,924.53,893.74
2015-09-08,886.94,915.69
2015-09-09,919.33,931.7
2015-09-10,918.79,922.33
2015-09-11,919.61,918.0
2015-09-14,923.44,907.66
2015-09-15,889.0,875.58
2015-09-16,873.86,918.28
2015-09-17,912.0,895.37
2015-09-18,900.25,899.14
2015-09-21,891.86,914.13
2015-09-22,915.98,920.55
2015-09-23,908.89,900.43
2015-09-24,906.17,906.54
2015-09-25,904.84,896.86
2015-09-28,894.49,896.03
2015-09-29,882.77,876.61
2015-09-30,881.33,881.11
2015-10-08,916.72,907.04
2015-10-09,909.17,916.7
2015-10-12,919.51,947.32
2015-10-13,940.38,945.96
2015-10-14,943.33,936.29
2015-10-15,936.59,958.83
2015-10-16,964.02,968.66
2015-10-19,971.91,965.28
2015-10-20,962.78,975.02
2015-10-21,976.03,951.67
2015-10-22,944.19,963.66
2015-10-23,965.93,976.72
2015-10-26,987.41,981.83
2015-10-27,977.47,984.1
2015-10-28,979.39,966.32
2015-10-29,970.45,969.03
2015-10-30,970.1,970.45
2015-11-02,960.08,956.92
2015-11-03,960.53,953.55
2015-11-04,956.39,995.09
2015-11-05,993.26,1011.48
