date,open,close
2022-04-29,1000.0,1000.0
2022-05-05,1000.59,1031.32
2022-05-06,1013.35,1024.57
2022-05-09,1023.06,1044.85
2022-05-10,1032.52,1061.82
2022-05-11,1061.18,1081.43
2022-05-12,1077.32,1071.29
2022-05-13,1070.17,1115.1
2022-05-16,1123.86,1128.56
2022-05-17,1130.8,1136.49
2022-05-18,1130.8,1125.83
2022-05-19,1115.47,1129.62
2022-05-20,1124.39,1136.14
2022-05-23,1135.64,1132.84
2022-05-24,1129.84,1085.79
2022-05-25,1083.39,1081.45
2022-05-26,1081.52,1079.15
2022-05-27,1076.18,1078.05
2022-05-30,1078.06,1085.59
2022-05-31,1083.9,1094.29
2022-06-01,1094.54,1097.86
2022-06-02,1094.5,1113.11
2022-06-06,1114.55,1142.84
2022-06-07,1138.24,1141.24
2022-06-08,1136.93,1138.27
2022-06-09,1135.5,1127.4
2022-06-10,1123.12,1131.44
2022-06-13,1124.64,1120.34
2022-06-14,1114.63,1113.47
2022-06-15,1110.44,1112.68
2022-06-16,1109.11,1112.32
2022-06-17,1107.93,1118.72
2022-06-20,1119.0,1135.95
2022-06-21,1134.1,1126.42
2022-06-22,1122.88,1122.46
2022-06-23,1118.51,1134.39
2022-06-24,1134.11,1146.64
2022-06-27,1149.38,1167.99
2022-06-28,1167.82,1195.95
2022-06-29,1188.14,1167.07
2022-06-30,1165.34,1167.12
2022-07-01,1165.71,1160.97
2022-07-04,1157.6,1149.2
2022-07-05,1145.49,1141.19
2022-07-06,1137.39,1129.82
2022-07-07,1127.9,1130.26
2022-07-08,1128.25,1131.52
2022-07-11,1128.66,1113.68
2022-07-12,1110.82,1102.56
2022-07-13,1099.06,1102.42
2022-07-14,1096.19,1103.72
2022-07-15,1106.77,1089.18
2022-07-18,1085.94,1088.79
2022-07-19,1085.26,1089.92
2022-07-20,1087.46,1093.86
2022-07-21,1086.03,1085.18
2022-07-22,1080.42,1078.72
2022-07-25,1079.12,1066.43
2022-07-26,1067.03,1082.87
2022-07-27,1085.27,1080.78
2022-07-28,1081.96,1073.09
2022-07-29,1072.4,1061.11
2022-08-01,1060.09,1058.17
2022-08-02,1053.18,1020.95
2022-08-03,1018.14,1014.93
2022-08-04,1017.17,1022.65
2022-08-05,1024.72,1038.75
2022-08-08,1038.03,1047.53
2022-08-09,1048.33,1051.5
2022-08-10,1053.75,1056.47
2022-08-11,1056.9,1078.43
2022-08-12,1078.84,1071.92
2022-08-15,1073.68,1085.06
2022-08-16,1087.82,1090.29
2022-08-17,1090.51,1090.88
2022-08-18,1088.21,1093.3
2022-08-19,1093.25,1079.44
2022-08-22,1071.7,1072.21
2022-08-23,1073.75,1078.33
2022-08-24,1080.64,1064.84
2022-08-25,1061.43,1053.64
2022-08-26,1055.24,1055.64
2022-08-29,1051.19,1057.34
2022-08-30,1057.59,1052.53
2022-08-31,1049.43,1038.41
2022-09-01,1038.15,1032.37
2022-09-02,1033.97,1033.94
2022-09-05,1047.98,1048.31
2022-09-06,1048.93,1052.84
2022-09-07,1053.13,1052.36
2022-09-08,1051.66,1042.33
2022-09-09,1042.67,1043.57
2022-09-13,1043.68,1045.73
2022-09-14,1039.18,1037.26
2022-09-15,1038.62,1016.66
2022-09-16,1015.44,1023.82
2022-09-19,1022.49,1008.12
2022-09-20,1008.94,1021.27
2022-09-21,1019.29,1064.69
2022-09-22,1060.79,1054.11
2022-09-23,1050.79,1016.02
2022-09-26,1008.47,993.46
2022-09-27,992.29,992.93
2022-09-28,992.77,976.65
2022-09-29,978.19,966.87
2022-09-30,966.91,963.09
2022-10-10,966.62,937.5
2022-10-11,936.35,938.46
2022-10-12,936.79,944.56
2022-10-13,939.56,949.22
2022-10-14,950.11,976.44
2022-10-17,974.57,975.45
2022-10-18,978.03,981.16
2022-10-19,981.19,980.54
2022-10-20,978.33,977.34
2022-10-21,976.51,978.74
2022-10-24,979.87,972.25
2022-10-25,971.18,969.4
2022-10-26,969.88,971.47
2022-10-27,964.71,958.36
2022-10-28,958.3,936.0
